ID,type,name,longitude,latitude,destination_id
1219,dive_center,TWIN PEAKS DIVING CENTRE,-28.336831,38.534833,775
1220,dive_center,CAVALEIROS DO MAR,-8.820866,41.697439,776
1221,dive_center,SHAPE OF THE WORLD,-9.291735,38.696145,777
1222,dive_center,LOJA DO MAR,-9.318462,38.676261,777
1223,dive_center,AZORES LOW DIVE,-25.783149,37.800614,773
1224,dive_center,LOJA DO MAR,-16.911832,32.646831,778
1225,dive_center,LEVADIA,-9.363515,38.696487,4930
1226,dive_center,NAUTILIFE,-9.232975,38.670707,781
1227,dive_center,OUTPRO ALFRAGIDE,-9.215945,38.724568,781
1228,dive_center,OUTPRO ALVALADE,-9.143233,38.756539,769
1229,dive_center,OCTOPUS PORTUGAL,-27.057317,38.732855,1921
1230,dive_center,CS DIVING,-8.705714,41.187052,783
1231,dive_center,PURAVIDA,-8.933304,37.011674,784
1232,dive_center,SCUBA MADEIRA,-16.921863,32.642593,778
1234,dive_center,Buddy Dive and Friends,-8.548714,37.135444,786
1209,dive_center,Tec n’ Rec Diving,11.998523,57.747372,765
1237,dive_center,AZZURRO AÇORES,-25.582782,37.816264,789
1238,dive_center,AZZURRO ALMADA,-9.192226,38.628842,802
1239,dive_center,JUSTDIVE,-9.374795,39.359617,771
1240,dive_center,OPEN WATERS DIVE,-8.096827,37.0667,790
1241,dive_center,NAZARÉ WATER FUN,-9.074601,39.586322,791
1242,dive_center,Scorpio Madeira Diving Center,-16.738207,32.739115,792
1243,dive_center,SUBNAUTA,-8.533098,37.118698,786
1244,dive_center,SCUBAZORES DIVERS,-27.230507,38.664909,800
1245,dive_center,MERO DIVING CENTER,-16.850899,32.638453,794
1246,dive_center,Madeira Diving Center,-16.824453,32.64695,794
1247,dive_center,PORTO SANTO SUB,-16.307298,33.063295,795
1248,dive_center,UDIVING,-7.627132,37.119169,796
1250,dive_center,MANTAMARIA,-25.141232,36.956804,798
1251,dive_center,Sao Jorge Dive Center,-28.204353,38.679827,799
1252,dive_center,DEEP BLUE DIVE CENTER,-27.229397,38.663538,800
1253,dive_center,WIND CAM,-9.042455,38.660891,801
1254,dive_center,MANTA DIVING CENTER,-16.832929,32.641137,794
1255,dive_center,CAPARICA DIVING,-9.131931,38.607204,802
1256,dive_center,ATLANTIC DIVING ESPOSENDE,-8.783187,41.531261,803
1257,dive_center,DIVE AZORES,-28.625448,38.531102,804
1258,dive_center,AZUL DIVING MADEIRA,-16.91877,32.6418,778
1259,dive_center,SCUBAFISH,-25.660028,37.741985,773
1260,dive_center,ISLA SUB VRSA,-7.416837,37.195726,805
1261,dive_center,AÇORDIVING / AZORDIVING,-25.659867,37.740542,773
1262,dive_center,ESPIRITO AZUL,-25.429874,37.714769,806
1263,dive_center,CW AZORES,-28.518509,38.529886,807
1236,dive_center,MEGA DIVE CENTER,-8.629105,41.157944,788
1266,dive_center,WeDive,-8.66356,37.112783,809
1267,dive_center,Cabo Verde Diving,-22.911934,16.596415,812
1268,dive_center,Eco Dive School Cabo Verde,-23.513327,14.93305,811
1269,dive_center,Atlantic Star Lda,-22.917942,16.589331,812
1270,dive_center,Scuba Caribe Ilha do Sal,-22.923063,16.595876,812
1271,dive_center,Scuba Caribe Ilha da Boavista,-22.904737,16.136817,1680
1272,dive_center,Dive Tribe Cabo Verde,-25.070879,16.830251,813
1273,dive_center,Blue Eden Santo Antão,-25.074676,17.017836,814
1275,dive_center,Dive Tribe Sao Tome,6.741171,0.33265,816
1279,dive_center,Eagle Divers NI,-6.249298,54.765963,819
1284,dive_center,Tecni Buceo,-15.4623,28.090474,273
1285,dive_center,"Mares SSI Korea co., ltd.",127.09651,37.363295,6088
1293,dive_center,Dive Newcastle,151.638753,-33.086369,3136
1265,dive_center,SUMMERBOARD,-16.738745,32.736437,792
1301,dive_center,TREK DIVERS LTD,55.832899,-4.347836,3954
1305,dive_center,SCUBA ZEN,-63.037891,18.113336,1545
1323,dive_center,DIVING WORLD SAN MARINO,12.483742,43.971509,850
