name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
Mashonaland West Province,Zimbabwe,-18.4554963,29.7468414,true,181
South Sulawesi,Indonesia,-3.6446718,119.9471906,true,182
Bongolava,Madagascar,-18.5916863,46.30781672201059,true,183
East Kalimantan,Indonesia,0.7884397,116.2419977,true,184
Tuscany,Italy,43.4586541,11.1389204,true,185
HM 12,Bermuda,32.29406440451613,-64.7811082651613,true,186
New York,United States,40.7127281,-74.0060152,true,187
Al Wusta Governorate,Oman,19.679297,56.59113398322508,true,188
Baja California,Mexico,30.0338923,-115.1425107,true,189
Tabuk Province,Saudi Arabia,28.3251866,37.6328648,true,190
Faadhippolhu,Maldives,5.3992544,73.5273924090907,true,191
Dodoma Region,Tanzania,-6.0102878,35.8245033,true,192
Autonomous Republic of Crimea,Ukraine,45.6856952,33.9329411,true,193
Newfoundland and Labrador,Canada,53.8217327,-61.2295532,true,194
Central,Fiji,-17.9338436,178.41210304999998,true,195
Monte Plata,Dominican Republic,18.8101455,-69.7845099,true,196
Réunion,France,-21.1309332,55.5265771,true,197
Sánchez Ramírez,Dominican Republic,19.0176147,-70.1448351,true,198
Bashkortostan,Russia,54.4747553,55.9784582,true,199
Liguria,Italy,44.4777617,8.7026296,true,200
Moscow Oblast,Russia,55.5043158,38.0353929,true,201
Riau Islands,Indonesia,-0.1547846,104.5803745,true,202
Couva-Tabaquite-Talparo,Trinidad and Tobago,10.4497669,-61.344388125853015,true,203
Marlborough,New Zealand,-41.47447475,173.8330262577606,true,204
Johor,Malaysia,2.0228821,103.3114564,true,205
Guadalcanal,Solomon Islands,-9.59842095,160.1485117018448,true,206
Colorado,United States,38.7251776,-105.607716,true,207
8499300,Israel,30.8751684,34.7889357,true,208
Karnataka,India,14.5203896,75.7223521,true,209
Waikato,New Zealand,-37.77922725,175.2010323246593,true,210
Middlesex County,Jamaica,18.0927685,-77.24686094329728,true,211
South Australia,Australia,-30.5343665,135.6301212,true,212
Sorsogon,Philippines,12.833333,123.916667,true,213
Indiana,United States,40.3270127,-86.1746933,true,214
Isle of Youth,Cuba,21.9841355,-82.41193055173278,true,215
Sanma,Vanuatu,-15.158134,166.93938648535234,true,216
Paraná,Brazil,-24.4842187,-51.8148872,true,217
Khaet Preah Sihanouk,Cambodia,10.50614075,103.26205644863938,true,218
Southeast Sulawesi,Indonesia,-3.5491199,121.7279646,true,219
